d1(um),d2(um),p(um),tg(um),na,peak wl(um),Neff,confinement loss(dB/cm),peak wl(nm),??peak,WS,Resution,FWHM
0.6,1,2.5,0.03,1.35,0.59,1.457012050114646-8.18560368255043E-5i,75.71804831,590,10,1000,1.00E-04,
0.6,1,2.5,0.03,1.36,0.6,1.4565802848608407-1.1941793791598476E-4i,108.6223079,600,20,2000,5.00E-05,
0.6,1,2.5,0.03,1.37,0.62,1.4545925217357027-1.541889592588404E-4i,135.7257645,620,30,3000,3.33E-05,
0.6,1,2.5,0.03,1.38,0.65,1.454742191098432-2.990189715894286E-4i,251.064955,650,40,4000,2.50E-05,
0.6,1,2.5,0.03,1.39,0.69,1.4532723328299708-3.463599550427321E-4i,273.9550389,690,60,6000,1.67E-05,
0.6,1,2.5,0.03,1.4,0.75,1.4512999406965295-2.7504697807784266E-4i,200.1457273,750,90,9000,1.11E-05,
0.6,1,2.5,0.03,1.41,0.84,1.4492481077930384-2.671415825932266E-4i,173.5653056,840,390,39000,2.56E-06,
0.6,1,2.5,0.03,1.42,1.23,1.44150056370545-5.841322345009075E-4i,259.1831539,1230,,,,
0.6,1,2.5,0.04,1.31,0.57,1.4578040990236845-2.5182513811082616E-5i,24.11153914,570,10,1000,1.00E-04,
0.6,1,2.5,0.04,1.32,0.58,1.4573864085893058-3.120029705052093E-5i,29.35833652,580,10,1000,1.00E-04,
0.6,1,2.5,0.04,1.33,0.59,1.4569814042617115-3.9262770561379886E-5i,36.31864519,590,10,1000,1.00E-04,
0.6,1,2.5,0.04,1.34,0.6,1.4565831836435643-4.6656654613239214E-5i,42.43879599,600,20,2000,5.00E-05,
0.6,1,2.5,0.04,1.35,0.62,1.455855853098434-6.512396669639838E-5i,57.32576579,620,20,2000,5.00E-05,
0.6,1,2.5,0.04,1.36,0.64,1.455162317673271-8.491521501860879E-5i,72.41128402,640,30,3000,3.33E-05,
0.6,1,2.5,0.04,1.37,0.67,1.4542322097041902-1.1908254749486248E-4i,97.0005112,670,30,3000,3.33E-05,
0.6,1,2.5,0.04,1.38,0.7,1.4533071341712325-1.5817761972998257E-4i,123.3240291,700,50,5000,2.00E-05,
0.6,1,2.5,0.04,1.39,0.75,1.452016331890736-2.6103790689322424E-4i,189.9516297,750,70,7000,1.43E-05,
0.6,1,2.5,0.04,1.4,0.82,1.4497791707128593-4.6188979679671904E-4i,307.4151208,820,130,13000,7.69E-06,
0.6,1,2.5,0.04,1.41,0.95,1.4471662505487835-5.813447253662148E-4i,333.9726019,950,1050,105000,9.52E-07,
0.6,1,2.5,0.04,1.42,2,1.419687897761774-0.0015939605987549221i,434.9589736,2000,,,,
0.6,1,2.5,0.05,1.31,0.58,1.4573803331354749-1.542798132657443E-5i,14.51716523,580,10,1000,1.00E-04,
0.6,1,2.5,0.05,1.32,0.59,1.4569768142002166-1.8382843848476638E-5i,17.00440325,590,20,2000,5.00E-05,
0.6,1,2.5,0.05,1.33,0.61,1.4562237301715875-2.2351632129766344E-5i,19.99770304,610,10,1000,1.00E-04,
0.6,1,2.5,0.05,1.34,0.62,1.455856778790355-2.8756587809633115E-5i,25.31316044,620,20,2000,5.00E-05,
0.6,1,2.5,0.05,1.35,0.64,1.4551735970049497-3.6312106077229344E-5i,30.96507765,640,10,1000,1.00E-04,
0.6,1,2.5,0.05,1.36,0.65,1.4545224280328197-4.568112944323242E-5i,38.35519415,650,40,4000,2.50E-05,
0.6,1,2.5,0.05,1.37,0.69,1.4536246999623923-6.0147348755351786E-5i,47.57382898,690,40,4000,2.50E-05,
0.6,1,2.5,0.05,1.38,0.73,1.4525345890813766-7.829668891945559E-5i,58.53575785,730,60,6000,1.67E-05,
0.6,1,2.5,0.05,1.39,0.79,1.451277436734625-1.0872518885966963E-4i,75.11104226,790,60,6000,1.67E-05,
0.6,1,2.5,0.05,1.4,0.85,1.449631337651026-1.5569293145353466E-4i,99.96562349,850,160,16000,6.25E-06,
0.6,1,2.5,0.05,1.41,1.01,1.4463063060545744-2.2744310841593064E-4i,122.9000663,1010,980,98000,1.02E-06,
0.6,1,2.5,0.05,1.42,1.99,1.421957511897818-0.001005362944857881i,275.7214201,1990,,,,
0.6,1,2.5,0.06,1.31,0.59,1.4568419749034576-1.1449404484400695E-5i,10.59086899,590,10,1000,1.00E-04,
0.6,1,2.5,0.06,1.32,0.6,1.4564482814641624-1.3508901813364502E-5i,12.28766899,600,10,1000,1.00E-04,
0.6,1,2.5,0.06,1.33,0.61,1.4562161526725805-1.2445300943946723E-5i,11.13464248,610,20,2000,5.00E-05,
0.6,1,2.5,0.06,1.34,0.63,1.4555099448348547-1.531843478915076E-5i,13.27011088,630,20,2000,5.00E-05,
0.6,1,2.5,0.06,1.35,0.65,1.4548466969350284-1.8509655558848093E-5i,15.5412408,650,20,2000,5.00E-05,
0.6,1,2.5,0.06,1.36,0.67,1.454217535810594-2.3707380796915713E-5i,19.31120979,670,20,2000,5.00E-05,
0.6,1,2.5,0.06,1.37,0.69,1.4536131229580216-2.4772487146293965E-5i,19.59391546,690,50,5000,2.00E-05,
0.6,1,2.5,0.06,1.38,0.74,1.452265799350801-3.777238223024158E-5i,27.85757863,740,50,5000,2.00E-05,
0.6,1,2.5,0.06,1.39,0.79,1.4510266440801187-5.16817678220274E-5i,35.70351533,790,80,8000,1.25E-05,
0.6,1,2.5,0.06,1.4,0.87,1.449223327123894-7.205845041742408E-5i,45.20290801,870,170,17000,5.88E-06,
0.6,1,2.5,0.06,1.41,1.04,1.4457114474235864-1.033473169983579E-4i,54.23336803,1040,960,96000,1.04E-06,
0.6,1,2.5,0.06,1.42,2,1.424113107948163-9.616006495675245E-4i,262.4009852,2000,,,,
0.6,1,3,0.03,1.31,0.55,1.4591298680148048-1.545213514726419E-5i,15.33297817,550,0,0,0.00E+00,
0.6,1,3,0.03,1.32,0.55,1.4591248317631753-1.9519424001618318E-5i,19.3689027,550,10,1000,1.00E-04,
0.6,1,3,0.03,1.33,0.56,1.4586859850634988-2.577169130675479E-5i,25.11629658,560,10,1000,1.00E-04,
0.6,1,3,0.03,1.34,0.57,1.4582638103138308-3.4052267229983176E-5i,32.6040752,570,20,2000,5.00E-05,
0.6,1,3,0.03,1.35,0.59,1.4574924096028545-4.4193567934958145E-5i,40.8797059,590,10,1000,1.00E-04,
0.6,1,3,0.03,1.36,0.6,1.4571005827494454-6.61486858325796E-5i,60.16870704,600,30,3000,3.33E-05,
0.6,1,3,0.03,1.37,0.63,1.4559673118367424-4.682563094727391E-5i,40.56428239,630,10,1000,1.00E-04,
0.6,1,3,0.03,1.38,0.64,1.4556891530704743-7.784630176740821E-5i,66.38328203,640,50,5000,2.00E-05,
0.6,1,3,0.03,1.39,0.69,1.4544177311789825-2.1537986204659378E-4i,170.355717,690,50,5000,2.00E-05,
0.6,1,3,0.03,1.4,0.74,1.4533063094080578-2.8192915537527514E-4i,207.9260865,740,80,8000,1.25E-05,
0.6,1,3,0.03,1.41,0.82,1.4508406713882787-2.18173221466374E-4i,145.2072501,820,180,18000,5.56E-06,
0.6,1,3,0.03,1.42,1,1.4472611856928341-2.646371429362488E-4i,144.4280369,1000,,,,
0.6,1,3,0.04,1.31,0.57,1.4582645408216488-1.3969049263605044E-5i,13.37496648,570,10,1000,1.00E-04,
0.6,1,3,0.04,1.32,0.58,1.4578625550491162-1.724937552539726E-5i,16.23103045,580,10,1000,1.00E-04,
0.6,1,3,0.04,1.33,0.59,1.4574752447890302-2.1767258623728427E-5i,20.13503712,590,10,1000,1.00E-04,
0.6,1,3,0.04,1.34,0.6,1.4570987007857286-2.6429034286736326E-5i,24.03979461,600,20,2000,5.00E-05,
0.6,1,3,0.04,1.35,0.62,1.4564033867033381-3.6168868802945185E-5i,31.83786564,620,20,2000,5.00E-05,
0.6,1,3,0.04,1.36,0.64,1.455750047487-4.766434966608953E-5i,40.64568123,640,30,3000,3.33E-05,
0.6,1,3,0.04,1.37,0.67,1.454866955731408-6.173197549733502E-5i,50.28472523,670,30,3000,3.33E-05,
0.6,1,3,0.04,1.38,0.7,1.454032003494742-8.97474680331552E-5i,69.9720945,700,40,4000,2.50E-05,
0.6,1,3,0.04,1.39,0.74,1.4529961432069236-1.183118825278774E-4i,87.25641264,740,70,7000,1.43E-05,
0.6,1,3,0.04,1.4,0.81,1.4515232200750017-1.9290577971871637E-4i,129.9753304,810,110,11000,9.09E-06,
0.6,1,3,0.04,1.41,0.92,1.4492707055643579-4.143265231992673E-4i,245.7851372,920,360,36000,2.78E-06,
0.6,1,3,0.04,1.42,1.28,1.4428927826974745-4.41823119424034E-4i,188.3819018,1280,,,,
0.6,1,3,0.05,1.31,0.58,1.4578589580982522-8.617410332178807E-6i,8.108667428,580,10,1000,0.00E+00,
0.6,1,3,0.05,1.32,0.59,1.4574722563820783-1.0299780299212323E-5i,9.527449563,590,20,2000,5.00E-05,
0.6,1,3,0.05,1.33,0.61,1.4567490073977458-1.2124963339091502E-5i,10.84804075,610,10,1000,1.00E-04,
0.6,1,3,0.05,1.34,0.62,1.456402318122707-1.5960173897662193E-5i,14.04903966,620,20,2000,5.00E-05,
0.6,1,3,0.05,1.35,0.64,1.4557530741470304-1.9813434965608807E-5i,16.89586803,640,20,2000,5.00E-05,
0.6,1,3,0.05,1.36,0.66,1.4551415551675804-2.555164342979176E-5i,21.12883792,660,30,3000,3.33E-05,
0.6,1,3,0.05,1.37,0.69,1.4542995299530665-3.2523686716521294E-5i,25.72476329,690,30,3000,3.33E-05,
0.6,1,3,0.05,1.38,0.72,1.4535086929134895-4.2387589610358854E-5i,32.12971945,720,50,5000,2.00E-05,
0.6,1,3,0.05,1.39,0.77,1.4523329944163463-5.972027509111251E-5i,42.32839325,770,70,7000,1.43E-05,
0.6,1,3,0.05,1.4,0.84,1.4508641947758867-8.529509591093326E-5i,55.41731559,840,110,11000,9.09E-06,
0.6,1,3,0.05,1.41,0.95,1.4487801214561962-1.3847075910219828E-4i,79.54908282,950,1200,120000,8.33E-07,
0.6,1,3,0.05,1.42,2.15,1.4254917864732137-0.0010024710568336031i,254.4685362,2150,,,,
0.6,1,3,0.06,1.31,0.59,1.4574734025282063-4.993673958882894E-6i,4.619222488,590,10,1000,1.00E-04,
0.6,1,3,0.06,1.32,0.6,1.4571023269758703-5.8925304200192985E-6i,5.359833414,600,10,1000,1.00E-04,
0.6,1,3,0.06,1.33,0.61,1.4567446501170314-6.966130552082885E-6i,6.232502814,610,20,2000,5.00E-05,
0.6,1,3,0.06,1.34,0.63,1.4560714372136507-8.345821953214551E-6i,7.229849799,630,20,2000,5.00E-05,
0.6,1,3,0.06,1.35,0.65,1.4554429093749808-9.909493387687698E-6i,8.32029653,650,20,2000,5.00E-05,
0.6,1,3,0.06,1.36,0.67,1.4548517873784816-1.2912092062894146E-5i,10.51774216,670,30,3000,3.33E-05,
0.6,1,3,0.06,1.37,0.7,1.4540310352857704-1.5850358084183804E-5i,12.35781664,700,30,3000,3.33E-05,
0.6,1,3,0.06,1.38,0.73,1.4532658863455732-2.134445264927864E-5i,15.95742718,730,50,5000,2.00E-05,
0.6,1,3,0.06,1.39,0.78,1.452110463072093-2.872523887292622E-5i,20.09878272,780,70,7000,1.43E-05,
0.6,1,3,0.06,1.4,0.85,1.4506562416607354-4.024887430071635E-5i,25.8425593,850,110,11000,9.09E-06,
0.6,1,3,0.06,1.41,0.96,1.448590316225489-6.0930151777186225E-5i,34.63871208,960,1250,125000,8.00E-07,
0.6,1,3,0.06,1.42,2.21,1.4217347141806274-6.757503692797755E-4i,166.876325,2210,,,,
1.6,0.8,2,0.04,1.31,0.57,1.4562509467262685-7.419609974494855E-5i,71.04065053,570,10,1000,1.00E-04,
1.6,0.8,2,0.04,1.32,0.58,1.4559677470874128-8.606898791961363E-5i,80.98776454,580,10,1000,1.00E-04,
1.6,0.8,2,0.04,1.33,0.59,1.4555046945136358-1.067559412235501E-4i,98.75082924,590,20,2000,5.00E-05,
1.6,0.8,2,0.04,1.34,0.61,1.4546847925811166-1.3816902084012994E-4i,123.6179547,610,20,2000,5.00E-05,
1.6,0.8,2,0.04,1.35,0.63,1.4541953554028397-1.6850360905035648E-4i,145.9719355,630,20,2000,5.00E-05,
1.6,0.8,2,0.04,1.36,0.65,1.4528884326041007-2.7510514035508963E-4i,230.9862124,650,30,3000,3.33E-05,
1.6,0.8,2,0.04,1.37,0.68,1.4518389218507566-3.772750422951811E-4i,302.795818,680,40,4000,2.50E-05,
1.6,0.8,2,0.04,1.38,0.72,1.450582888571156-5.134869657163308E-4i,389.22223,720,50,5000,2.00E-05,
1.6,0.8,2,0.04,1.39,0.77,1.4500681785676968-5.25742571990675E-4i,372.6345584,770,,,,
1.4,0.8,2,0.04,1.31,0.57,1.4564343260405805-6.898999915339098E-5i,66.05595761,570,10,1000,1.00E-04,
1.4,0.8,2,0.04,1.32,0.58,1.4565990095300982-6.444028254197641E-5i,60.63594514,580,10,1000,1.00E-04,
1.4,0.8,2,0.04,1.33,0.59,1.4556827118810451-9.998450920514892E-5i,92.48715417,590,20,2000,5.00E-05,
1.4,0.8,2,0.04,1.34,0.61,1.4548728809498428-1.2777540761426746E-4i,114.3189295,610,10,1000,1.00E-04,
1.4,0.8,2,0.04,1.35,0.62,1.4543966713820131-1.5960757099449754E-4i,140.4955303,620,30,3000,3.33E-05,
1.4,0.8,2,0.04,1.36,0.65,1.4533474645069495-2.2647699845141544E-4i,190.1566216,650,30,3000,3.33E-05,
1.4,0.8,2,0.04,1.37,0.68,1.4521032367454927-3.3072899645326E-4i,265.4385946,680,30,3000,3.33E-05,
1.4,0.8,2,0.04,1.38,0.71,1.4510380661889362-4.792618244608629E-4i,368.3962468,710,60,6000,1.67E-05,
1.4,0.8,2,0.04,1.39,0.77,1.449766725291051-781.9187872227515E-6i,554.2065214,770,,,,
1.2,0.8,2,0.04,1.31,0.57,1.4561385410679615-8.036690123156809E-5i,76.94901705,570,10,1000,1.00E-04,
1.2,0.8,2,0.04,1.32,0.58,1.4563029099974953-8.573368721190133E-5i,80.67225886,580,10,1000,1.00E-04,
1.2,0.8,2,0.04,1.33,0.59,1.4558521292950457-1.0701216038849926E-4i,98.98783577,590,20,2000,5.00E-05,
1.2,0.8,2,0.04,1.34,0.61,1.455057190751834-1.3602893381678283E-4i,121.7032478,610,10,1000,1.00E-04,
1.2,0.8,2,0.04,1.35,0.62,1.4545817528155118-1.7290379572145075E-4i,152.1996125,620,30,3000,3.33E-05,
1.2,0.8,2,0.04,1.36,0.65,1.453562691324679-2.4031973547503758E-4i,201.7793829,650,30,3000,3.33E-05,
1.2,0.8,2,0.04,1.37,0.68,1.4523369780157964-2.9345427495120136E-4i,235.5224101,680,30,3000,3.33E-05,
1.2,0.8,2,0.04,1.38,0.71,1.4512744991582245-5.687094005706772E-4i,437.1522996,710,60,6000,1.67E-05,
1.2,0.8,2,0.04,1.39,0.77,1.450097825732776-707.8286254730416E-6i,501.6930744,770,,,,
1.2,0.6,2,0.04,1.31,0.57,1.4564233250886878-6.191470018180416E-5i,59.28156053,570,10,1000,1.00E-04,
1.2,0.6,2,0.04,1.32,0.58,1.4567577105446474-6.866786341708453E-5i,64.61394386,580,10,1000,1.00E-04,
1.2,0.6,2,0.04,1.33,0.59,1.4554946734227485-9.563981531224629E-5i,88.46824788,590,20,2000,5.00E-05,
1.2,0.6,2,0.04,1.34,0.61,1.4546699331653663-1.2341617859306354E-4i,110.4187862,610,10,1000,1.00E-04,
1.2,0.6,2,0.04,1.35,0.62,1.4541897335164427-1.5066611143855327E-4i,132.6247564,620,30,3000,3.33E-05,
1.2,0.6,2,0.04,1.36,0.65,1.453111949708165-2.2022003301342883E-4i,184.9030929,650,20,2000,5.00E-05,
1.2,0.6,2,0.04,1.37,0.67,1.452663734734935-3.207509229798577E-4i,261.2725723,670,40,4000,2.50E-05,
1.2,0.6,2,0.04,1.38,0.71,1.4507641638882582-4.155889050717485E-4i,319.4525101,710,60,6000,1.67E-05,
1.2,0.6,2,0.04,1.39,0.77,1.4486117906726297-7.734800556739525E-4i,548.2253375,770,,,,
1.2,1,2,0.04,1.31,0.57,1.4559565620356532-7.717129302985838E-5i,73.88931329,570,10,1000,1.00E-04,
1.2,1,2,0.04,1.32,0.58,1.4559565620356532-7.717129302985838E-5i,72.61535961,580,10,1000,1.00E-04,
1.2,1,2,0.04,1.33,0.59,1.4568388574621627-1.268071607758486E-4i,117.2985048,590,20,2000,5.00E-05,
1.2,1,2,0.04,1.34,0.61,1.456014953525933-1.8388928548121483E-4i,164.5232573,610,10,1000,1.00E-04,
1.2,1,2,0.04,1.35,0.62,1.4554662031229906-2.3743807278136579E-4i,209.0063004,620,30,3000,3.33E-05,
1.2,1,2,0.04,1.36,0.65,1.4545499648154887-3.9824526815451566E-4i,334.3782162,650,30,3000,3.33E-05,
1.2,1,2,0.04,1.37,0.68,1.4520738217329119-2.9114024901693674E-4i,233.6652044,680,30,3000,3.33E-05,
1.2,1,2,0.04,1.38,0.71,1.4505954964403636-4.4117881105984843E-4i,339.1228131,710,60,6000,1.67E-05,
1.2,1,2,0.04,1.39,0.77,1.4489567525205298-3.798838081919701E-4i,269.2531338,770,,,,
